,Admin1,Admin2,Admin3,Pop_HNO _2017,IDPs_estimates_for_the_HNO_2017,FS_PiN_2017,FS_Severity_2017
35,Hama,As-Salamiyeh,As-Salamiyeh,136670.0,53430.0,65417.0,5.0
36,Deir-ez-Zor,Abu Kamal,Hajin,81000.0,1600.0,48276.0,4.0
37,Dar'a,Izra',Izra',56370.0,23493.0,34395.0,5.0
38,As-Sweida,As-Sweida,As-Sweida,155120.0,26750.0,55843.0,4.0
39,Deir-ez-Zor,Al Mayadin,Al Mayadin,132400.0,47200.0,87384.0,5.0
40,Quneitra,Quneitra,Quneitra,11840.0,10200.0,11144.0,5.0
41,Dar'a,As-Sanamayn,As-Sanamayn,114542.0,34205.0,59118.0,5.0
42,Deir-ez-Zor,Abu Kamal,Abu Kamal,114350.0,17040.0,102915.0,4.0
43,Dar'a,Dar'a,Mzeireb,109600.0,38735.0,31565.0,4.0
44,Tartous,Tartous,Arwad,4400.0,60.0,1735.0,4.0
45,Idleb,Al Ma'ra,Kafr Nobol,89000.0,37980.0,25632.0,4.0
46,Deir-ez-Zor,Al Mayadin,Ashara,113400.0,8440.0,47174.0,4.0
47,Idleb,Harim,Salqin,101989.0,63799.0,41433.0,5.0
48,Idleb,Ariha,Ariha,90240.0,20540.0,63168.0,5.0
49,Rural Damascus,Duma,Ghizlaniyyeh,92500.0,50040.0,30833.0,5.0
50,Idleb,Idleb,Maaret Tamsrin,100006.0,49325.0,28802.0,4.0
51,Idleb,Idleb,Saraqab,83400.0,35590.0,23670.0,4.0
52,Homs,Ar-Rastan,Talbiseh,112300.0,29250.0,62888.0,5.0
53,Al-Hasakeh,Ras Al Ain,Ras Al Ain,69520.0,4820.0,33092.0,5.0
54,Ar-Raqqa,Ar-Raqqa,Maadan,22000.0,1770.0,21511.0,4.0
55,Hama,As-Suqaylabiyah,Madiq Castle,71410.0,8840.0,19995.0,3.0
56,Aleppo,Jebel Saman,Daret Azza,82520.0,36838.0,37629.0,5.0
57,Aleppo,Afrin,Sharan,23900.0,10490.0,7170.0,4.0
58,Ar-Raqqa,Ath-Thawrah,Al-Thawrah,74000.0,4200.0,67833.0,4.0
59,Al-Hasakeh,Al-Malikeyyeh,Al-Malikeyyeh,79470.0,5355.0,47682.0,5.0
60,Aleppo,Jebel Saman,Tall Ed-daman,52832.0,6623.0,29058.0,4.0
61,Deir-ez-Zor,Deir-ez-Zor,Kisreh,90990.0,12450.0,54594.0,4.0
62,Idleb,Jisr-Ash-Shugur,Badama,56545.0,51860.0,16285.0,5.0
63,Aleppo,Menbij,Al-Khafsa,94470.0,26060.0,52605.0,5.0
64,Idleb,Al Ma'ra,Khan Shaykun,19390.0,9580.0,8944.0,5.0
65,Homs,Ar-Rastan,Ar-Rastan,71890.0,15070.0,20704.0,3.0
66,Homs,Homs,Kherbet Tin Noor,72805.0,3490.0,20385.0,3.0
67,Idleb,Ariha,Ehsem,63000.0,12910.0,18144.0,3.0
68,Hama,Hama,Hamra,25835.0,6980.0,12020.0,5.0
69,Aleppo,Jebel Saman,Zarbah,46890.0,5470.0,16130.0,3.0
70,Tartous,Banyas,Banyas,82900.0,19170.0,32546.0,4.0
71,Deir-ez-Zor,Al Mayadin,Thiban,76900.0,15010.0,35682.0,4.0
72,Hama,Masyaf,Masyaf,73500.0,12720.0,30476.0,5.0
73,Rural Damascus,Rural Damascus,Arbin,51000.0,4570.0,17506.0,3.0
74,Rural Damascus,Az-Zabdani,Madaya,51100.0,1800.0,27546.0,5.0
75,Homs,Homs,Taldu,71100.0,4350.0,31995.0,4.0
76,Hama,Muhradah,Muhradah,48115.0,8585.0,23208.0,5.0
77,Rural Damascus,Darayya,Sahnaya,60000.0,37000.0,24679.0,5.0
78,Deir-ez-Zor,Abu Kamal,Susat,75400.0,1190.0,36795.0,4.0
79,Rural Damascus,Qatana,Sa'sa',62060.0,10310.0,33099.0,4.0
80,Homs,Tall Kalakh,Nasra,57700.0,40910.0,24129.0,5.0
81,Dar'a,Izra',Jasim,58000.0,24000.0,46787.0,5.0
82,Dar'a,Izra',Nawa ,57600.0,22810.0,17856.0,4.0
83,Rural Damascus,Az-Zabdani,Sarghaya,15500.0,900.0,4805.0,3.0
84,Al-Hasakeh,Quamishli,Amuda,45260.0,14680.0,21590.0,4.0
85,Deir-ez-Zor,Deir-ez-Zor,Tabni,67750.0,10280.0,26558.0,4.0
86,Quneitra,Al Fiq,Fiq,2420.0,578.0,1300.0,4.0
87,Idleb,Al Ma'ra,Sanjar,60870.0,17500.0,43265.0,5.0
88,Rural Damascus,Al Qutayfah,Jirud,30400.0,2140.0,11400.0,4.0
89,Al-Hasakeh,Al-Hasakeh,Tal Tamer,50755.0,4690.0,18840.0,5.0
90,Homs,Al-Qusayr,Al Quasir,56890.0,14360.0,22009.0,5.0
91,Ar-Raqqa,Ar-Raqqa,Karama,37550.0,3455.0,30979.0,4.0
92,Idleb,Harim,Harim,35355.0,21680.0,20661.0,5.0
93,Rural Damascus,Qatana,Bait Jan,7460.0,0.0,6877.0,4.0
94,Tartous,Safita,Safita,59620.0,19055.0,21276.0,4.0
95,Quneitra,Quneitra,Khan Arnaba,44190.0,18025.0,33246.0,5.0
96,Lattakia,Jablah,Jablah,64670.0,26055.0,21876.0,4.0
97,Hama,Hama,Harbanifse,46520.0,1480.0,41432.0,4.0
98,Aleppo,Ain Al Arab,Ain al Arab,94387.0,425.0,50216.0,4.0
99,Dar'a,Dar'a,Da'el,52000.0,19500.0,14976.0,4.0
100,Rural Damascus,Darayya,Markaz Darayya,43000.0,2520.0,20741.0,5.0
101,Aleppo,As-Safira,Banan,10990.0,3065.0,3209.0,4.0
102,Dar'a,Dar'a,Kherbet Ghazala,26700.0,13250.0,7690.0,4.0
103,Deir-ez-Zor,Deir-ez-Zor,Khasham,62300.0,850.0,17942.0,3.0
104,Hama,Hama,Suran,26625.0,4340.0,23713.0,4.0
105,Aleppo,Menbij,Maskana,45370.0,10955.0,18148.0,4.0
106,Dar'a,Izra',Sheikh Miskine,14480.0,2220.0,9050.0,4.0
107,Idleb,Harim,Qourqeena,49200.0,22120.0,28395.0,5.0
108,Rural Damascus,Anbk,Anbk,49430.0,24110.0,14829.0,4.0
109,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,49845.0,18380.0,27913.0,5.0
110,Idleb,Idleb,Abul Thohur,49350.0,21330.0,26834.0,5.0
111,Dar'a,Dar'a,Mseifra,39790.0,16840.0,11460.0,4.0
112,Aleppo,Afrin,Raju,61015.0,22360.0,18305.0,4.0
113,Al-Hasakeh,Al-Hasakeh,Shadadah,43750.0,6680.0,15559.0,3.0
114,As-Sweida,Salkhad,Gharyeh,4600.0,330.0,1840.0,5.0
115,Deir-ez-Zor,Deir-ez-Zor,Basira,43570.0,3575.0,23964.0,4.0
116,Aleppo,Jarablus,Jarablus,27780.0,11450.0,10464.0,5.0
117,Dar'a,Izra',Hrak,46500.0,9790.0,13392.0,3.0
118,Idleb,Jisr-Ash-Shugur,Darkosh,49300.0,23495.0,27608.0,5.0
119,Aleppo,Afrin,Jandairis,47070.0,16710.0,14121.0,4.0
120,Ar-Raqqa,Ath-Thawrah,Mansura,51700.0,11992.0,28435.0,4.0
121,Aleppo,Al Bab,Dayr Hafir,10000.0,0.0,4844.0,4.0
122,As-Sweida,Shahba,Shahba,34270.0,9500.0,12076.0,4.0
123,Rural Damascus,Anbk,Deir Attiyeh,45400.0,14650.0,13075.0,4.0
124,Rural Damascus,Al Qutayfah,Al Qutayfah,48300.0,4960.0,24522.0,5.0
125,Quneitra,Quneitra,Al-Khashniyyeh,37195.0,18683.0,23946.0,5.0
126,Lattakia,Jablah,Qteilbiyyeh,21250.0,1260.0,5950.0,3.0
127,Hama,Masyaf,Oj,48110.0,10400.0,31572.0,4.0
128,Dar'a,As-Sanamayn,Ghabagheb,44880.0,14300.0,17952.0,5.0
129,Aleppo,A'zaz,Nabul,40540.0,845.0,24324.0,4.0
130,Rural Damascus,Az-Zabdani,Ein Elfijeh,40900.0,9520.0,14929.0,4.0
131,Idleb,Al Ma'ra,Heish,48790.0,25380.0,15125.0,5.0
132,Dar'a,Dar'a,Jizeh,32160.0,21335.0,9262.0,5.0
133,Al-Hasakeh,Ras Al Ain,Darbasiyah,40120.0,6350.0,20862.0,5.0
134,Aleppo,Menbij,Abu Qalqal,43170.0,9844.0,17491.0,4.0
135,Homs,Tall Kalakh,Hawash,40663.0,25225.0,17005.0,5.0
136,Dar'a,Dar'a,Busra Esh-Sham,37430.0,14690.0,10780.0,4.0
137,Homs,Al Makhrim,Al Makhrim,45450.0,2680.0,23435.0,5.0
138,Aleppo,Jebel Saman,Haritan,23630.0,5925.0,18067.0,5.0
139,Idleb,Al Ma'ra,Tamanaah,37360.0,12250.0,10760.0,4.0
140,Idleb,Idleb,Teftnaz,27700.0,12640.0,8864.0,4.0
141,Lattakia,Al-Qardaha,Jobet Berghal,4430.0,90.0,2561.0,4.0
142,Idleb,Jisr-Ash-Shugur,Janudiyeh,35810.0,23160.0,10313.0,5.0
143,Aleppo,As-Safira,As-Safira,25890.0,105.0,12382.0,4.0
144,Hama,As-Salamiyeh,As-Saan,9700.0,1280.0,2716.0,3.0
145,Idleb,Harim,Armanaz,39000.0,13130.0,19061.0,5.0
146,Tartous,Dreikish,Dreikish,41160.0,14200.0,10290.0,5.0
147,Dar'a,Dar'a,Ash-Shajara,34950.0,7310.0,19572.0,4.0
148,Tartous,Tartous,Soda Khawabi,37100.0,17310.0,18086.0,5.0
149,As-Sweida,Shahba,Shaqa,20695.0,3530.0,10115.0,5.0
150,Rural Damascus,Duma,Dhameer,36900.0,15820.0,20554.0,5.0
151,Homs,Homs,Raqama,21890.0,6340.0,10398.0,5.0
152,Rural Damascus,Yabroud,Yabroud,32090.0,15600.0,14975.0,5.0
153,Lattakia,Lattakia,Hanadi,13750.0,710.0,5964.0,4.0
154,Hama,Muhradah,Karnaz,7440.0,2280.0,2258.0,4.0
155,Deir-ez-Zor,Deir-ez-Zor,Sur,38450.0,2080.0,21046.0,4.0
156,Ar-Raqqa,Ath-Thawrah,Jurneyyeh,26540.0,6200.0,25759.0,4.0
157,Al-Hasakeh,Quamishli,Tal Hmis,28170.0,0.0,15494.0,5.0
158,Rural Damascus,Az-Zabdani,Az-Zabdani,34190.0,14360.0,18463.0,5.0
159,Hama,Masyaf,Wadi El-oyoun,26700.0,8160.0,15019.0,5.0
160,Al-Hasakeh,Al-Hasakeh,Markada,35700.0,8335.0,10417.0,3.0
161,Hama,Masyaf,Jeb Ramleh,36500.0,50.0,20988.0,4.0
162,Aleppo,Al Bab,Tadaf,21001.0,1908.0,10591.0,4.0
163,Rural Damascus,Duma,Nashabiyeh,20190.0,6660.0,6070.0,4.0
164,Al-Hasakeh,Al-Malikeyyeh,Jawadiyah,29430.0,535.0,11147.0,5.0
165,Idleb,Ariha,Mhambal,27370.0,6010.0,11323.0,5.0
166,Deir-ez-Zor,Deir-ez-Zor,Muhasan,29940.0,5720.0,19760.0,4.0
167,Hama,As-Suqaylabiyah,As-Suqaylabiyah,35450.0,2100.0,17725.0,4.0
168,Tartous,Sheikh Badr,Sheikh Badr,29590.0,10610.0,12409.0,5.0
169,Aleppo,Jebel Saman,Hadher,900.0,0.0,361.0,4.0
170,Aleppo,Ain Al Arab,Sarin,23154.0,680.0,11570.0,4.0
171,Idleb,Idleb,Bennsh,26500.0,2180.0,14840.0,4.0
172,Ar-Raqqa,Tell Abiad,Tell Abiad,29930.0,3075.0,20577.0,4.0
173,Homs,Homs,Ein Elniser,31560.0,3480.0,13019.0,4.0
174,Hama,As-Suqaylabiyah,Ziyara,13310.0,60.0,1464.0,2.0
175,Ar-Raqqa,Ar-Raqqa,Sabka,26635.0,1970.0,17091.0,4.0
176,Aleppo,Al Bab,A'rima,29390.0,6638.0,13047.0,4.0
177,Ar-Raqqa,Tell Abiad,Ein Issa,17732.0,1430.0,17732.0,4.0
178,Homs,Homs,Qabu,39100.0,2250.0,10948.0,3.0
179,Aleppo,A'zaz,Aghtrin,27910.0,12960.0,8373.0,4.0
180,Deir-ez-Zor,Abu Kamal,Jalaa,28800.0,2160.0,15006.0,4.0
181,Homs,Tall Kalakh,Tall Kalakh,27830.0,2160.0,7862.0,3.0
182,Idleb,Idleb,Sarmin,9500.0,4500.0,2736.0,4.0
183,Aleppo,Ain Al Arab,Lower Shyookh,35180.0,0.0,13593.0,4.0
184,Aleppo,Al Bab,Rasm Haram El-Imam,7245.0,735.0,3105.0,4.0
185,Tartous,Banyas,Hamam Wasil,7160.0,930.0,1790.0,4.0
186,Idleb,Harim,Kafr Takharim,20250.0,16580.0,11340.0,5.0
187,Homs,Al Makhrim,Jeb Ej-Jarrah,21685.0,1520.0,8599.0,4.0
188,Tartous,Dreikish,Jneinet Raslan,7616.0,510.0,3332.0,4.0
189,Rural Damascus,Duma,Haran Al'awameed,20760.0,3410.0,6241.0,3.0
190,Al-Hasakeh,Quamishli,Qahtaniyyeh,26290.0,1675.0,14460.0,4.0
191,Hama,Masyaf,Ein Halaqim,24400.0,5450.0,13725.0,4.0
192,Aleppo,Afrin,Bulbul,21060.0,9250.0,6318.0,4.0
193,Homs,Homs,Hasyaa,20740.0,5380.0,13935.0,5.0
194,As-Sweida,As-Sweida,Mazra'a,17110.0,3450.0,8555.0,5.0
195,Al-Hasakeh,Al-Malikeyyeh,Ya'robiyah,23120.0,885.0,11432.0,4.0
196,Aleppo,A'zaz,Mare',14139.0,1175.0,4242.0,3.0
197,Aleppo,Afrin,Ma'btali,21436.0,7740.0,9546.0,5.0
198,Hama,Muhradah,Kafr Zeita,18820.0,1580.0,5270.0,3.0
199,Aleppo,As-Safira,Hajeb,7110.0,1705.0,2076.0,3.0
200,Al-Hasakeh,Al-Hasakeh,Areesheh,19810.0,680.0,9603.0,3.0
201,Homs,Homs,Mahin,0.0,0.0,0.0,4.0
202,Homs,Homs,Sadad,5600.0,20.0,2688.0,4.0
203,Al-Hasakeh,Al-Hasakeh,Hole,14059.0,2975.0,4049.0,3.0
204,Lattakia,Lattakia,Ein El-Bayda,9320.0,1310.0,3146.0,3.0
205,As-Sweida,Salkhad,Salkhad,24180.0,2680.0,9672.0,5.0
206,Hama,As-Suqaylabiyah,Tell Salhib,16960.0,30.0,9559.0,4.0
207,Rural Damascus,Darayya,Hajar Aswad,4500.0,320.0,3150.0,4.0
208,Rural Damascus,Al Qutayfah,Ma'loula,10800.0,190.0,3544.0,4.0
209,Lattakia,Al-Qardaha,Fakhura,14180.0,510.0,5672.0,4.0
210,Tartous,Tartous,Hameidiyyeh,20190.0,8360.0,8443.0,5.0
211,Tartous,Banyas,Qadmous,20220.0,3850.0,7077.0,3.0
212,Aleppo,Jarablus,Ghandorah,27403.0,14393.0,7892.0,5.0
213,Aleppo,A'zaz,Tall Refaat,13630.0,1258.0,4034.0,3.0
214,Aleppo,Al Bab,Ar-Ra'ee,20031.0,6615.0,6453.0,4.0
215,Ar-Raqqa,Tell Abiad,Suluk,34520.0,3535.0,19331.0,4.0
216,Tartous,Safita,Mashta Elhiu,16710.0,9430.0,8616.0,5.0
217,Homs,Homs,Farqalas,16330.0,4930.0,7757.0,5.0
218,Rural Damascus,Rural Damascus,Maliha,0.0,0.0,0.0,4.0
219,Tartous,Safita,Ras El-Khashufeh,16380.0,1470.0,8446.0,4.0
220,Hama,As-Suqaylabiyah,Shat-ha,15040.0,0.0,12408.0,4.0
221,Rural Damascus,Yabroud,Esal El-Ward,4550.0,390.0,1536.0,2.0
222,Rural Damascus,Az-Zabdani,Dimas,17710.0,4110.0,9132.0,4.0
223,As-Sweida,Salkhad,Thibeen,7500.0,580.0,3563.0,5.0
224,Tartous,Safita,Sisniyyeh,17370.0,2300.0,6731.0,4.0
225,Tartous,Tartous,Kareemeh,11560.0,1040.0,4624.0,4.0
226,Hama,As-Salamiyeh,Eastern Bari,3970.0,470.0,1861.0,4.0
227,Tartous,Tartous,Kherbet Elma'aza,16770.0,2160.0,8720.0,4.0
228,Tartous,Tartous,Safsafa,17160.0,1540.0,8151.0,4.0
229,Dar'a,As-Sanamayn,Masmiyyeh,12120.0,1600.0,11249.0,4.0
230,Hama,As-Salamiyeh,Saboura,4010.0,1340.0,1003.0,5.0
231,Lattakia,Al-Haffa,Kansaba,600.0,0.0,168.0,3.0
232,Lattakia,Jablah,Dalyeh,9570.0,360.0,3350.0,3.0
233,Aleppo,Al Bab,Eastern Kwaires ,0.0,0.0,0.0,4.0
234,Tartous,Banyas,Anaza,15300.0,2000.0,4303.0,4.0
235,Aleppo,As-Safira,Khanaser,540.0,0.0,183.0,3.0
236,Homs,Tall Kalakh,Hadideh,41567.0,0.0,17146.0,4.0
237,Tartous,Sheikh Badr,Qumseyyeh,13460.0,3190.0,3575.0,4.0
238,Rural Damascus,At Tall,Rankus,9870.0,60.0,8019.0,4.0
239,Tartous,Dreikish,Dweir Raslan,11060.0,2240.0,10023.0,4.0
240,Homs,Tadmor,Sokhneh,13870.0,860.0,9479.0,4.0
241,Aleppo,Afrin,Sheikh El-Hadid,12830.0,5080.0,3849.0,4.0
242,Homs,Homs,Qaryatein,800.0,0.0,509.0,4.0
243,Lattakia,Al-Haffa,Al-Haffa,10120.0,830.0,5397.0,4.0
244,As-Sweida,As-Sweida,Mashnaf,12610.0,90.0,6936.0,4.0
245,Homs,Tadmor,Tadmor,3180.0,70.0,2798.0,4.0
246,Lattakia,Jablah,Ein Elsharqiyeh,11240.0,640.0,3147.0,3.0
247,As-Sweida,Salkhad,Milh,11880.0,360.0,5643.0,5.0
248,Tartous,Banyas,Rawda,10290.0,1020.0,3859.0,4.0
249,Lattakia,Lattakia,Qastal Maaf,9210.0,1240.0,4622.0,4.0
250,Tartous,Safita,Sibbeh,6000.0,520.0,3750.0,4.0
251,As-Sweida,Shahba,Little Sura,11250.0,360.0,6187.0,5.0
252,As-Sweida,Salkhad,Qarayya,10945.0,2110.0,3502.0,3.0
253,Rural Damascus,At Tall,Sidnaya,10050.0,790.0,5360.0,4.0
254,Homs,Homs,Shin,28101.0,0.0,14267.0,4.0
255,Rural Damascus,Duma,Sabe Byar,78850.0,78800.0,26651.0,5.0
256,Lattakia,Al-Haffa,Salanfa,3950.0,160.0,1106.0,3.0
257,Lattakia,Jablah,Ein Shaqaq,9700.0,520.0,3031.0,3.0
258,Lattakia,Jablah,Beit Yashout,8720.0,360.0,2442.0,3.0
259,Lattakia,Lattakia,Rabee'a,1300.0,0.0,395.0,3.0
260,Al-Hasakeh,Al-Hasakeh,Be'r Al-Hulo Al-Wardeyyeh,2990.0,200.0,2990.0,4.0
261,Tartous,Dreikish,Hamin,6690.0,440.0,1045.0,2.0
262,Tartous,Banyas,Taleen,6160.0,1160.0,4716.0,4.0
263,Lattakia,Al-Haffa,Mzair'a,6690.0,170.0,1873.0,3.0
264,Tartous,Safita,Bariqiyeh,6100.0,730.0,4575.0,4.0
265,Lattakia,Al-Qardaha,Harf Elmseitra,4950.0,400.0,2784.0,4.0
266,Tartous,Banyas,Tawahin,5980.0,1030.0,1682.0,4.0
267,Lattakia,Lattakia,Bahlawaniyeh,4860.0,120.0,1361.0,3.0
268,Lattakia,Al-Haffa,Ein Et-teeneh,3800.0,120.0,1283.0,3.0
269,Lattakia,Lattakia,Kasab,830.0,380.0,239.0,4.0
