Admin1,Admin2,Admin3,Pop_HNO _2017,IDPs_estimates_for_the_HNO_2017,CCCM_PiN_2017,Education_PiN_2017,Health_PiN_2017,Nutrition_PiN_2017,Protection_PiN_2017,NFI_PiN_2017,Shelter_PiN_2017,WASH_PiN_2017,FS_PiN_2017,ERL_PiN_2017,Intersector_PiN,CCCM_Severity_2017,Education_Severity_2017,Health_Severity_2017,Nutrition_Severity_2017,Protection_Severity_2017,NFI_Severity_2017,Shelter_Severity_2017,WASH_Severity_2017,FS_Severity_2017,ERL_Severity_2017
Aleppo,Menbij,Abu Qalqal,43170.00,9844.00,9844.00,14868.00,29900.00,10058.61,29900.00,8634.00,4317.00,14066.00,17491.00,22426.00,29900.00,3.00,6.00,4.00,4.00,4.00,3.00,2.00,3.00,4.00,0.00
Homs,Tall Kalakh,Hawash,40663.00,25225.00,25225.00,13112.00,28163.00,10572.38,28163.00,8133.00,16265.00,25225.00,17005.00,11618.00,28163.00,6.00,5.00,1.00,3.00,3.00,3.00,4.00,2.00,5.00,5.00
Dar'a,Dar'a,Busra Esh-Sham,37430.00,14690.00,14690.00,12270.00,25924.00,7710.58,25924.00,7486.00,3743.00,14690.00,10780.00,16863.00,25924.00,4.00,6.00,2.00,4.00,4.00,3.00,2.00,4.00,4.00,4.00
Homs,Al Makhrim,Al Makhrim,45450.00,2680.00,2680.00,14605.00,31479.00,11817.00,31479.00,4545.00,9090.00,2680.00,23435.00,17314.00,31479.00,1.00,1.00,1.00,3.00,1.00,2.00,3.00,4.00,5.00,6.00
Aleppo,Jebel Saman,Haritan,23630.00,5925.00,5925.00,7801.00,16366.00,5505.79,18067.00,9452.00,4726.00,5925.00,18067.00,12153.00,18067.00,3.00,5.00,2.00,4.00,5.00,4.00,3.00,3.00,5.00,4.00
Idleb,Al Ma'ra,Tamanaah,37360.00,12250.00,12250.00,12230.00,25876.00,7847.43,25876.00,7472.00,7472.00,12250.00,10760.00,22877.00,25876.00,4.00,3.00,3.00,3.00,5.00,3.00,3.00,3.00,4.00,6.00
Idleb,Idleb,Teftnaz,27700.00,12640.00,12640.00,9080.00,19185.00,5872.70,19185.00,11080.00,5540.00,12640.00,8864.00,15252.00,19185.00,5.00,6.00,1.00,3.00,4.00,4.00,3.00,3.00,4.00,5.00
Lattakia,Al-Qardaha,Jobet Berghal,4430.00,90.00,90.00,1442.00,3068.00,1151.80,3068.00,443.00,886.00,90.00,2561.00,2301.00,3068.00,1.00,1.00,0.00,4.00,1.00,2.00,3.00,3.00,4.00,0.00
Idleb,Jisr-Ash-Shugur,Janudiyeh,35810.00,23160.00,23160.00,11623.00,24802.00,7663.62,24802.00,14324.00,7162.00,23160.00,10313.00,20714.00,24802.00,6.00,6.00,2.00,3.00,4.00,4.00,3.00,4.00,5.00,6.00
Aleppo,As-Safira,As-Safira,25890.00,105.00,105.00,8369.00,17931.00,6032.37,17931.00,5178.00,2589.00,105.00,12382.00,13449.00,17931.00,1.00,6.00,2.00,4.00,2.00,3.00,2.00,4.00,4.00,0.00
Hama,As-Salamiyeh,As-Saan,9700.00,1280.00,1280.00,3176.00,6718.00,2522.00,6718.00,970.00,970.00,1390.00,2716.00,6646.00,6718.00,2.00,3.00,3.00,3.00,3.00,2.00,2.00,3.00,3.00,6.00
Idleb,Harim,Armanaz,39000.00,13130.00,13130.00,12984.00,27011.00,7645.20,27011.00,7800.00,3900.00,13130.00,19061.00,21658.00,27011.00,3.00,4.00,2.00,3.00,3.00,3.00,2.00,3.00,5.00,4.00
Tartous,Dreikish,Dreikish,41160.00,14200.00,14200.00,13290.00,28507.00,10331.16,28507.00,8232.00,16464.00,14200.00,10290.00,23520.00,28507.00,4.00,2.00,0.00,3.00,3.00,3.00,4.00,3.00,5.00,6.00
Dar'a,Dar'a,Ash-Shajara,34950.00,7310.00,7310.00,11345.00,24102.00,7199.70,24102.00,6990.00,6990.00,9935.00,19572.00,18172.00,24102.00,3.00,4.00,2.00,4.00,4.00,3.00,3.00,5.00,4.00,5.00
Tartous,Tartous,Soda Khawabi,37100.00,17310.00,17310.00,12212.00,25695.00,9312.10,25695.00,7420.00,7420.00,17310.00,18086.00,21200.00,25695.00,5.00,1.00,0.00,3.00,3.00,3.00,3.00,3.00,5.00,6.00
As-Sweida,Shahba,Shaqa,20695.00,3530.00,3530.00,6802.00,14333.00,4449.43,14333.00,2070.00,2070.00,3530.00,10115.00,10512.00,14333.00,2.00,4.00,1.00,3.00,4.00,2.00,2.00,4.00,5.00,6.00
Rural Damascus,Duma,Dhameer,36900.00,15820.00,15820.00,11939.00,25557.00,8265.60,35820.00,14760.00,14760.00,35820.00,20554.00,6970.00,35820.00,2.00,6.00,1.00,4.00,5.00,4.00,4.00,4.00,5.00,6.00
Homs,Homs,Raqama,21890.00,6340.00,6340.00,7179.00,15161.00,5691.40,15161.00,4378.00,4378.00,6340.00,10398.00,11371.00,15161.00,3.00,2.00,1.00,3.00,2.00,3.00,3.00,4.00,5.00,0.00
Rural Damascus,Yabroud,Yabroud,32090.00,15600.00,15600.00,10517.00,22226.00,7188.16,22226.00,12836.00,12836.00,15600.00,14975.00,1528.00,22226.00,5.00,4.00,2.00,4.00,4.00,4.00,4.00,3.00,5.00,6.00
Lattakia,Lattakia,Hanadi,13750.00,710.00,710.00,4502.00,9523.00,3575.00,9523.00,1375.00,1375.00,710.00,5964.00,7143.00,9523.00,1.00,6.00,0.00,4.00,1.00,2.00,2.00,3.00,4.00,0.00
Hama,Muhradah,Karnaz,7440.00,2280.00,2280.00,2446.00,5153.00,1934.40,5153.00,1488.00,1488.00,2280.00,2258.00,3865.00,5153.00,4.00,6.00,2.00,3.00,4.00,3.00,3.00,4.00,4.00,0.00
Deir-ez-Zor,Deir-ez-Zor,Sur,38450.00,2080.00,2080.00,12476.00,26630.00,8235.14,26630.00,3845.00,3845.00,6843.00,21046.00,19974.00,26630.00,1.00,6.00,3.00,5.00,2.00,2.00,2.00,5.00,4.00,0.00
Ar-Raqqa,Ath-Thawrah,Jurneyyeh,26540.00,6200.00,6200.00,8704.00,18382.00,5467.24,25759.00,5308.00,2654.00,8859.00,25759.00,13787.00,25759.00,3.00,6.00,5.00,5.00,3.00,3.00,2.00,4.00,4.00,0.00
Al-Hasakeh,Quamishli,Tal Hmis,28170.00,0.00,0.00,9213.00,19511.00,5803.02,19511.00,5634.00,11268.00,3718.00,15494.00,15203.00,19511.00,0.00,6.00,2.00,4.00,2.00,3.00,4.00,5.00,5.00,5.00
Rural Damascus,Az-Zabdani,Az-Zabdani,34190.00,14360.00,14360.00,11285.00,23680.00,7658.56,26007.00,13676.00,20514.00,26007.00,18463.00,17860.00,26007.00,5.00,3.00,2.00,4.00,6.00,4.00,5.00,3.00,5.00,5.00
Hama,Masyaf,Wadi El-oyoun,26700.00,8160.00,8160.00,8756.00,18492.00,6942.00,18492.00,2670.00,10680.00,8160.00,15019.00,3179.00,18492.00,4.00,5.00,0.00,3.00,2.00,2.00,4.00,3.00,5.00,6.00
Al-Hasakeh,Al-Hasakeh,Markada,35700.00,8335.00,8335.00,10210.00,24726.00,7354.20,24726.00,21420.00,7140.00,11797.00,10417.00,20400.00,24726.00,3.00,5.00,5.00,4.00,4.00,5.00,3.00,4.00,3.00,6.00
Hama,Masyaf,Jeb Ramleh,36500.00,50.00,50.00,11970.00,25280.00,9490.00,25280.00,3650.00,3650.00,50.00,20988.00,18961.00,25280.00,1.00,1.00,1.00,3.00,1.00,2.00,2.00,3.00,4.00,0.00
Aleppo,Al Bab,Tadaf,21001.00,1908.00,1908.00,6897.00,14545.00,4893.23,14545.00,4200.00,2100.00,4394.00,10591.00,10909.00,14545.00,1.00,6.00,5.00,4.00,3.00,3.00,2.00,4.00,4.00,0.00
Rural Damascus,Duma,Nashabiyeh,20190.00,6660.00,6660.00,6594.00,13984.00,4522.56,18410.00,8076.00,4038.00,18410.00,6070.00,11211.00,18410.00,4.00,5.00,4.00,4.00,5.00,4.00,3.00,5.00,4.00,5.00
Al-Hasakeh,Al-Malikeyyeh,Jawadiyah,29430.00,535.00,535.00,10052.00,20383.00,6062.58,20383.00,5886.00,11772.00,4340.00,11147.00,18958.00,20383.00,1.00,6.00,1.00,4.00,2.00,3.00,4.00,4.00,5.00,6.00
Idleb,Ariha,Mhambal,27370.00,6010.00,6010.00,8907.00,18956.00,5910.55,18956.00,5474.00,2737.00,6010.00,11323.00,15167.00,18956.00,3.00,2.00,3.00,3.00,3.00,3.00,2.00,4.00,5.00,6.00
Deir-ez-Zor,Deir-ez-Zor,Muhasan,29940.00,5720.00,5720.00,9816.00,20736.00,6168.81,20736.00,5988.00,2994.00,8814.00,19760.00,6843.00,20736.00,2.00,6.00,3.00,5.00,4.00,3.00,2.00,5.00,4.00,5.00
Hama,As-Suqaylabiyah,As-Suqaylabiyah,35450.00,2100.00,2100.00,11626.00,24553.00,9217.00,24553.00,7090.00,7090.00,2100.00,17725.00,18415.00,24553.00,1.00,6.00,0.00,3.00,2.00,3.00,3.00,2.00,4.00,0.00
Tartous,Sheikh Badr,Sheikh Badr,29590.00,10610.00,10610.00,9567.00,20494.00,7427.09,20494.00,5918.00,5918.00,10610.00,12409.00,16439.00,20494.00,4.00,2.00,1.00,3.00,3.00,3.00,3.00,3.00,5.00,6.00
Aleppo,Jebel Saman,Hadher,900.00,0.00,0.00,295.00,623.00,209.70,623.00,90.00,90.00,NA,361.00,543.00,623.00,0.00,6.00,3.00,4.00,3.00,2.00,2.00,5.00,4.00,6.00
Aleppo,Ain Al Arab,Sarin,23154.00,680.00,680.00,8095.00,16036.00,5394.88,16036.00,2315.00,4631.00,3634.00,11570.00,13690.00,16036.00,1.00,5.00,4.00,4.00,3.00,2.00,3.00,1.00,4.00,6.00
Idleb,Idleb,Bennsh,26500.00,2180.00,2180.00,8504.00,9489.00,5459.00,14980.00,2650.00,2650.00,14980.00,14840.00,7550.00,14980.00,1.00,6.00,2.00,3.00,3.00,2.00,2.00,3.00,4.00,6.00
Ar-Raqqa,Tell Abiad,Tell Abiad,29930.00,3075.00,3075.00,10148.00,20730.00,6466.46,20730.00,2993.00,11972.00,6565.00,20577.00,16343.00,20730.00,2.00,6.00,2.00,5.00,3.00,2.00,4.00,3.00,4.00,5.00
Homs,Homs,Ein Elniser,31560.00,3480.00,3480.00,10350.00,21858.00,8205.60,21858.00,3156.00,6312.00,7000.00,13019.00,16030.00,21858.00,2.00,2.00,1.00,3.00,3.00,2.00,3.00,4.00,4.00,6.00
Hama,As-Suqaylabiyah,Ziyara,13310.00,60.00,60.00,4368.00,9219.00,3460.60,9219.00,2662.00,1331.00,60.00,1464.00,7606.00,9219.00,1.00,0.00,4.00,3.00,4.00,3.00,2.00,3.00,2.00,6.00
Ar-Raqqa,Ar-Raqqa,Sabka,26635.00,1970.00,1970.00,8735.00,18447.00,5486.81,18447.00,2664.00,2664.00,5190.00,17091.00,13836.00,18447.00,1.00,6.00,4.00,5.00,2.00,2.00,2.00,4.00,4.00,0.00
Aleppo,Al Bab,A'rima,29390.00,6638.00,6638.00,9662.00,20356.00,6847.87,20356.00,5878.00,5878.00,9522.00,13047.00,15267.00,20356.00,3.00,6.00,6.00,4.00,3.00,3.00,3.00,4.00,4.00,0.00
Ar-Raqqa,Tell Abiad,Ein Issa,17732.00,1430.00,1430.00,5850.00,12281.00,3839.93,17732.00,1773.00,3546.00,3556.00,17732.00,9211.00,17732.00,1.00,6.00,4.00,5.00,3.00,2.00,3.00,5.00,4.00,0.00
Homs,Homs,Qabu,39100.00,2250.00,2250.00,12747.00,27081.00,10166.00,27081.00,3910.00,3910.00,2250.00,10948.00,16757.00,27081.00,1.00,4.00,1.00,3.00,2.00,2.00,2.00,3.00,3.00,6.00
Aleppo,A'zaz,Aghtrin,27910.00,12960.00,12960.00,9153.00,19330.00,6503.03,19330.00,NA,11164.00,14700.00,8373.00,14498.00,19330.00,5.00,6.00,3.00,4.00,5.00,NA,4.00,3.00,4.00,0.00
Deir-ez-Zor,Abu Kamal,Jalaa,28800.00,2160.00,2160.00,9378.00,19947.00,5967.90,19947.00,2880.00,2880.00,5638.00,15006.00,14961.00,19947.00,1.00,6.00,3.00,5.00,2.00,2.00,2.00,5.00,4.00,0.00
Homs,Tall Kalakh,Tall Kalakh,27830.00,2160.00,2160.00,9127.00,19275.00,7235.80,19275.00,2783.00,2783.00,2160.00,7862.00,14457.00,19275.00,1.00,5.00,1.00,3.00,2.00,2.00,2.00,3.00,3.00,0.00
Idleb,Idleb,Sarmin,9500.00,4500.00,4500.00,3107.00,6580.00,1914.25,6580.00,1900.00,950.00,4500.00,2736.00,5967.00,6580.00,5.00,6.00,2.00,3.00,4.00,3.00,2.00,3.00,4.00,6.00
Aleppo,Ain Al Arab,Lower Shyookh,35180.00,0.00,0.00,11292.00,8782.00,8196.94,13593.00,3518.00,3518.00,4644.00,13593.00,5852.00,13593.00,0.00,6.00,4.00,4.00,3.00,2.00,2.00,1.00,4.00,5.00
Aleppo,Al Bab,Rasm Haram El-Imam,7245.00,735.00,735.00,2403.00,5018.00,1688.09,5018.00,1449.00,725.00,1581.00,3105.00,3764.00,5018.00,2.00,6.00,5.00,4.00,2.00,3.00,2.00,3.00,4.00,0.00
Tartous,Banyas,Hamam Wasil,7160.00,930.00,930.00,2348.00,4959.00,1797.16,4959.00,716.00,1432.00,930.00,1790.00,2955.00,4959.00,2.00,1.00,0.00,3.00,1.00,2.00,3.00,3.00,4.00,6.00
Idleb,Harim,Kafr Takharim,20250.00,16580.00,16580.00,6691.00,14025.00,3944.48,16580.00,8100.00,8100.00,16580.00,11340.00,12343.00,16580.00,4.00,4.00,3.00,3.00,4.00,4.00,4.00,3.00,5.00,5.00
Homs,Al Makhrim,Jeb Ej-Jarrah,21685.00,1520.00,1520.00,6820.00,15019.00,5638.10,15019.00,2169.00,2169.00,2155.00,8599.00,11265.00,15019.00,1.00,6.00,1.00,3.00,3.00,2.00,2.00,4.00,4.00,0.00
Tartous,Dreikish,Jneinet Raslan,7616.00,510.00,510.00,2494.00,5275.00,1911.62,5275.00,762.00,1523.00,510.00,3332.00,3868.00,5275.00,1.00,2.00,0.00,3.00,1.00,2.00,3.00,3.00,4.00,6.00
Rural Damascus,Duma,Haran Al'awameed,20760.00,3410.00,3410.00,7727.00,14378.00,4650.24,14378.00,2076.00,2076.00,3410.00,6241.00,10784.00,14378.00,2.00,4.00,1.00,4.00,2.00,2.00,2.00,4.00,3.00,0.00
Al-Hasakeh,Quamishli,Qahtaniyyeh,26290.00,1675.00,1675.00,8590.00,18208.00,5415.74,18208.00,5258.00,5258.00,4894.00,14460.00,15261.00,18208.00,1.00,5.00,1.00,4.00,2.00,3.00,3.00,3.00,4.00,6.00
Hama,Masyaf,Ein Halaqim,24400.00,5450.00,5450.00,8002.00,16899.00,6344.00,16899.00,2440.00,2440.00,5450.00,13725.00,12675.00,16899.00,3.00,4.00,0.00,3.00,2.00,2.00,2.00,3.00,4.00,0.00
Aleppo,Afrin,Bulbul,21060.00,9250.00,9250.00,6876.00,14586.00,4906.98,14586.00,8424.00,4212.00,10642.00,6318.00,6686.00,14586.00,5.00,3.00,3.00,4.00,3.00,4.00,3.00,3.00,4.00,6.00
Homs,Homs,Hasyaa,20740.00,5380.00,5380.00,6802.00,14365.00,5392.40,14365.00,4148.00,8296.00,5380.00,13935.00,10774.00,14365.00,3.00,6.00,2.00,3.00,2.00,3.00,4.00,4.00,5.00,0.00
As-Sweida,As-Sweida,Mazra'a,17110.00,3450.00,3450.00,5611.00,11850.00,3678.65,11850.00,1711.00,1711.00,3450.00,8555.00,10320.00,11850.00,3.00,3.00,1.00,3.00,3.00,2.00,2.00,4.00,5.00,6.00
Al-Hasakeh,Al-Malikeyyeh,Ya'robiyah,23120.00,885.00,885.00,7545.00,16013.00,4762.72,16013.00,4624.00,4624.00,3804.00,11432.00,15046.00,16013.00,1.00,5.00,3.00,4.00,2.00,3.00,3.00,3.00,4.00,6.00
Aleppo,A'zaz,Mare',14139.00,1175.00,1175.00,4519.00,9793.00,3294.39,9793.00,1414.00,2828.00,2865.00,4242.00,8584.00,9793.00,1.00,6.00,2.00,4.00,4.00,2.00,3.00,3.00,3.00,6.00
Aleppo,Afrin,Ma'btali,21436.00,7740.00,7740.00,6973.00,14847.00,4994.59,14847.00,8574.00,2144.00,9409.00,9546.00,13357.00,14847.00,4.00,3.00,0.00,4.00,3.00,4.00,2.00,3.00,5.00,6.00
Hama,Muhradah,Kafr Zeita,18820.00,1580.00,1580.00,6187.00,13035.00,4893.20,13035.00,3764.00,1882.00,2193.00,5270.00,9548.00,13035.00,1.00,4.00,2.00,3.00,4.00,3.00,2.00,2.00,3.00,5.00
Aleppo,As-Safira,Hajeb,7110.00,1705.00,1705.00,2308.00,4924.00,1656.63,4924.00,1422.00,356.00,1705.00,2076.00,3611.00,4924.00,3.00,6.00,5.00,4.00,3.00,3.00,1.00,5.00,3.00,6.00
Al-Hasakeh,Al-Hasakeh,Areesheh,19810.00,680.00,680.00,6464.00,13720.00,4080.86,13720.00,3962.00,3962.00,3193.00,9603.00,11949.00,13720.00,1.00,6.00,4.00,4.00,3.00,3.00,3.00,4.00,3.00,6.00
Homs,Homs,Mahin,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,0.00,NA,0.00,NA,4.00,6.00,3.00,3.00,NA,0.00,3.00,4.00,0.00
Homs,Homs,Sadad,5600.00,20.00,20.00,1837.00,3879.00,1456.00,3879.00,560.00,560.00,20.00,2688.00,2909.00,3879.00,1.00,4.00,1.00,3.00,2.00,2.00,2.00,3.00,4.00,0.00
Al-Hasakeh,Al-Hasakeh,Hole,14059.00,2975.00,2975.00,4102.00,9737.00,2896.15,9737.00,5624.00,2812.00,4385.00,4049.00,8034.00,9737.00,3.00,5.00,3.00,4.00,4.00,4.00,3.00,4.00,3.00,6.00
Lattakia,Lattakia,Ein El-Bayda,9320.00,1310.00,1310.00,3085.00,6455.00,2423.20,6455.00,932.00,932.00,1310.00,3146.00,4734.00,6455.00,2.00,6.00,0.00,4.00,2.00,2.00,2.00,3.00,3.00,6.00
As-Sweida,Salkhad,Salkhad,24180.00,2680.00,2680.00,7923.00,16747.00,5198.70,16747.00,2418.00,2418.00,2680.00,9672.00,7676.00,16747.00,2.00,1.00,1.00,3.00,2.00,2.00,2.00,3.00,5.00,6.00
Hama,As-Suqaylabiyah,Tell Salhib,16960.00,30.00,30.00,5562.00,11746.00,4409.60,11746.00,848.00,1696.00,30.00,9559.00,8810.00,11746.00,1.00,5.00,1.00,3.00,2.00,1.00,2.00,3.00,4.00,0.00
Rural Damascus,Darayya,Hajar Aswad,4500.00,320.00,320.00,1483.00,3117.00,1008.00,4500.00,900.00,900.00,4500.00,3150.00,1857.00,4500.00,1.00,6.00,5.00,4.00,3.00,3.00,3.00,3.00,4.00,6.00
Rural Damascus,Al Qutayfah,Ma'loula,10800.00,190.00,190.00,3532.00,7480.00,2419.20,7480.00,1080.00,540.00,190.00,3544.00,5610.00,7480.00,1.00,6.00,1.00,4.00,1.00,2.00,1.00,3.00,4.00,0.00
