Admin1,Admin2,Admin3,Pop_HNO _2017,IDPs_estimates_for_the_HNO_2017,CCCM_PiN_2017,Education_PiN_2017,Health_PiN_2017,Nutrition_PiN_2017,Protection_PiN_2017,NFI_PiN_2017,Shelter_PiN_2017,WASH_PiN_2017,FS_PiN_2017,ERL_PiN_2017,Intersector_PiN,CCCM_Severity_2017,Education_Severity_2017,Health_Severity_2017,Nutrition_Severity_2017,Protection_Severity_2017,NFI_Severity_2017,Shelter_Severity_2017,WASH_Severity_2017,FS_Severity_2017,ERL_Severity_2017
Homs,Homs,Qaryatein,800.00,0.00,0.00,0.00,554.00,208.00,554.00,,,,509.00,416.00,554.00,0.00,6.00,4.00,3.00,3.00,NA,0.00,0.00,4.00,0.00
Lattakia,Al-Haffa,Al-Haffa,10120.00,830.00,830.00,3314.00,7009.00,2631.20,7009.00,2024.00,2024.00,830.00,5397.00,5257.00,7009.00,1.00,5.00,1.00,4.00,3.00,3.00,3.00,4.00,4.00,0.00
As-Sweida,As-Sweida,Mashnaf,12610.00,90.00,90.00,4143.00,8734.00,2711.15,8734.00,1261.00,1261.00,90.00,6936.00,4003.00,8734.00,1.00,1.00,1.00,3.00,2.00,2.00,2.00,3.00,4.00,6.00
Homs,Tadmor,Tadmor,3180.00,70.00,70.00,1049.00,2202.00,826.80,2798.00,318.00,318.00,193.00,2798.00,1491.00,2798.00,1.00,6.00,4.00,3.00,4.00,2.00,2.00,5.00,4.00,3.00
Lattakia,Jablah,Ein Elsharqiyeh,11240.00,640.00,640.00,3677.00,7785.00,2922.40,7785.00,1124.00,1124.00,640.00,3147.00,5839.00,7785.00,1.00,4.00,0.00,4.00,1.00,2.00,2.00,3.00,3.00,0.00
As-Sweida,Salkhad,Milh,11880.00,360.00,360.00,3905.00,8228.00,2554.20,8228.00,1188.00,1188.00,360.00,5643.00,6034.00,8228.00,1.00,2.00,1.00,3.00,3.00,2.00,2.00,4.00,5.00,6.00
Tartous,Banyas,Rawda,10290.00,1020.00,1020.00,3375.00,7127.00,2582.79,7127.00,1029.00,2058.00,1020.00,3859.00,5227.00,7127.00,1.00,1.00,0.00,3.00,1.00,2.00,3.00,3.00,4.00,6.00
Lattakia,Lattakia,Qastal Maaf,9210.00,1240.00,1240.00,3020.00,6379.00,2394.60,6379.00,1842.00,921.00,1240.00,4622.00,4784.00,6379.00,2.00,6.00,1.00,4.00,3.00,3.00,2.00,4.00,4.00,0.00
Tartous,Safita,Sibbeh,6000.00,520.00,520.00,1963.00,4156.00,1506.00,4156.00,600.00,600.00,520.00,3750.00,3429.00,4156.00,1.00,0.00,0.00,3.00,1.00,2.00,2.00,5.00,4.00,6.00
As-Sweida,Shahba,Little Sura,11250.00,360.00,360.00,3697.00,7792.00,2418.75,7792.00,1125.00,1125.00,360.00,6187.00,6786.00,7792.00,1.00,2.00,2.00,3.00,3.00,2.00,2.00,4.00,5.00,6.00
As-Sweida,Salkhad,Qarayya,10945.00,2110.00,2110.00,3656.00,7581.00,2353.18,7581.00,2189.00,547.00,2110.00,3502.00,5837.00,7581.00,2.00,0.00,1.00,3.00,3.00,3.00,1.00,3.00,3.00,6.00
Rural Damascus,At Tall,Sidnaya,10050.00,790.00,790.00,3278.00,6961.00,2251.20,6961.00,1005.00,1005.00,790.00,5360.00,5743.00,6961.00,1.00,6.00,0.00,4.00,1.00,2.00,2.00,3.00,4.00,6.00
Homs,Homs,Shin,28101.00,0.00,0.00,0.00,19463.00,7306.26,19463.00,1405.00,2810.00,,14267.00,12043.00,19463.00,0.00,3.00,0.00,3.00,1.00,1.00,2.00,3.00,4.00,6.00
Rural Damascus,Duma,Sabe Byar,78850.00,78800.00,78800.00,24719.00,589.00,17662.40,78800.00,31540.00,15770.00,78800.00,26651.00,442.00,78800.00,1.00,6.00,4.00,4.00,4.00,4.00,3.00,5.00,5.00,0.00
Lattakia,Al-Haffa,Salanfa,3950.00,160.00,160.00,1290.00,2736.00,1027.00,2736.00,790.00,790.00,160.00,1106.00,2052.00,2736.00,1.00,6.00,1.00,4.00,4.00,3.00,3.00,2.00,3.00,0.00
Lattakia,Jablah,Ein Shaqaq,9700.00,520.00,520.00,3176.00,6718.00,2522.00,6718.00,970.00,970.00,520.00,3031.00,5039.00,6718.00,1.00,5.00,0.00,4.00,1.00,2.00,2.00,2.00,3.00,0.00
Lattakia,Jablah,Beit Yashout,8720.00,360.00,360.00,2821.00,6039.00,2267.20,6039.00,872.00,1744.00,360.00,2442.00,4530.00,6039.00,1.00,0.00,0.00,4.00,1.00,2.00,3.00,3.00,3.00,0.00
Lattakia,Lattakia,Rabee'a,1300.00,0.00,0.00,378.00,900.00,338.00,900.00,,,,395.00,675.00,900.00,1.00,5.00,6.00,4.00,3.00,NA,0.00,4.00,3.00,0.00
