,Admin1,Admin2,Admin3,Pop_HNO _2017,IDPs_estimates_for_the_HNO_2017,CCCM_PiN_2017,Education_PiN_2017,Health_PiN_2017,Nutrition_PiN_2017,Protection_PiN_2017,NFI_PiN_2017,Shelter_PiN_2017,WASH_PiN_2017,FS_PiN_2017,ERL_PiN_2017,Intersector_PiN
131,Idleb,Al Ma'ra,Heish,48790.0,25380.0,25380.0,16026.0,33792.0,10054.3,33792.0,19516.0,9758.0,25380.0,15125.0,28433.0,33792.0
132,Dar'a,Dar'a,Jizeh,32160.0,21335.0,21335.0,10666.0,22274.0,6624.96,22274.0,12864.0,6432.0,21335.0,9262.0,15314.0,22274.0
133,Al-Hasakeh,Ras Al Ain,Darbasiyah,40120.0,6350.0,6350.0,13069.0,27787.0,8264.72,27787.0,8024.0,16048.0,10693.0,20862.0,20598.0,27787.0
134,Aleppo,Menbij,Abu Qalqal,43170.0,9844.0,9844.0,14868.0,29900.0,10058.61,29900.0,8634.0,4317.0,14066.0,17491.0,22426.0,29900.0
135,Homs,Tall Kalakh,Hawash,40663.0,25225.0,25225.0,13112.0,28163.0,10572.38,28163.0,8133.0,16265.0,25225.0,17005.0,11618.0,28163.0
136,Dar'a,Dar'a,Busra Esh-Sham,37430.0,14690.0,14690.0,12270.0,25924.0,7710.58,25924.0,7486.0,3743.0,14690.0,10780.0,16863.0,25924.0
137,Homs,Al Makhrim,Al Makhrim,45450.0,2680.0,2680.0,14605.0,31479.0,11817.0,31479.0,4545.0,9090.0,2680.0,23435.0,17314.0,31479.0
138,Aleppo,Jebel Saman,Haritan,23630.0,5925.0,5925.0,7801.0,16366.0,5505.79,18067.0,9452.0,4726.0,5925.0,18067.0,12153.0,18067.0
139,Idleb,Al Ma'ra,Tamanaah,37360.0,12250.0,12250.0,12230.0,25876.0,7847.43,25876.0,7472.0,7472.0,12250.0,10760.0,22877.0,25876.0
140,Idleb,Idleb,Teftnaz,27700.0,12640.0,12640.0,9080.0,19185.0,5872.7,19185.0,11080.0,5540.0,12640.0,8864.0,15252.0,19185.0
141,Lattakia,Al-Qardaha,Jobet Berghal,4430.0,90.0,90.0,1442.0,3068.0,1151.8,3068.0,443.0,886.0,90.0,2561.0,2301.0,3068.0
142,Idleb,Jisr-Ash-Shugur,Janudiyeh,35810.0,23160.0,23160.0,11623.0,24802.0,7663.62,24802.0,14324.0,7162.0,23160.0,10313.0,20714.0,24802.0
143,Aleppo,As-Safira,As-Safira,25890.0,105.0,105.0,8369.0,17931.0,6032.37,17931.0,5178.0,2589.0,105.0,12382.0,13449.0,17931.0
144,Hama,As-Salamiyeh,As-Saan,9700.0,1280.0,1280.0,3176.0,6718.0,2522.0,6718.0,970.0,970.0,1390.0,2716.0,6646.0,6718.0
145,Idleb,Harim,Armanaz,39000.0,13130.0,13130.0,12984.0,27011.0,7645.2,27011.0,7800.0,3900.0,13130.0,19061.0,21658.0,27011.0
146,Tartous,Dreikish,Dreikish,41160.0,14200.0,14200.0,13290.0,28507.0,10331.16,28507.0,8232.0,16464.0,14200.0,10290.0,23520.0,28507.0
147,Dar'a,Dar'a,Ash-Shajara,34950.0,7310.0,7310.0,11345.0,24102.0,7199.7,24102.0,6990.0,6990.0,9935.0,19572.0,18172.0,24102.0
148,Tartous,Tartous,Soda Khawabi,37100.0,17310.0,17310.0,12212.0,25695.0,9312.1,25695.0,7420.0,7420.0,17310.0,18086.0,21200.0,25695.0
149,As-Sweida,Shahba,Shaqa,20695.0,3530.0,3530.0,6802.0,14333.0,4449.43,14333.0,2070.0,2070.0,3530.0,10115.0,10512.0,14333.0
150,Rural Damascus,Duma,Dhameer,36900.0,15820.0,15820.0,11939.0,25557.0,8265.6,35820.0,14760.0,14760.0,35820.0,20554.0,6970.0,35820.0
151,Homs,Homs,Raqama,21890.0,6340.0,6340.0,7179.0,15161.0,5691.4,15161.0,4378.0,4378.0,6340.0,10398.0,11371.0,15161.0
152,Rural Damascus,Yabroud,Yabroud,32090.0,15600.0,15600.0,10517.0,22226.0,7188.16,22226.0,12836.0,12836.0,15600.0,14975.0,1528.0,22226.0
153,Lattakia,Lattakia,Hanadi,13750.0,710.0,710.0,4502.0,9523.0,3575.0,9523.0,1375.0,1375.0,710.0,5964.0,7143.0,9523.0
154,Hama,Muhradah,Karnaz,7440.0,2280.0,2280.0,2446.0,5153.0,1934.4,5153.0,1488.0,1488.0,2280.0,2258.0,3865.0,5153.0
155,Deir-ez-Zor,Deir-ez-Zor,Sur,38450.0,2080.0,2080.0,12476.0,26630.0,8235.14,26630.0,3845.0,3845.0,6843.0,21046.0,19974.0,26630.0
156,Ar-Raqqa,Ath-Thawrah,Jurneyyeh,26540.0,6200.0,6200.0,8704.0,18382.0,5467.24,25759.0,5308.0,2654.0,8859.0,25759.0,13787.0,25759.0
157,Al-Hasakeh,Quamishli,Tal Hmis,28170.0,0.0,0.0,9213.0,19511.0,5803.02,19511.0,5634.0,11268.0,3718.0,15494.0,15203.0,19511.0
158,Rural Damascus,Az-Zabdani,Az-Zabdani,34190.0,14360.0,14360.0,11285.0,23680.0,7658.56,26007.0,13676.0,20514.0,26007.0,18463.0,17860.0,26007.0
159,Hama,Masyaf,Wadi El-oyoun,26700.0,8160.0,8160.0,8756.0,18492.0,6942.0,18492.0,2670.0,10680.0,8160.0,15019.0,3179.0,18492.0
160,Al-Hasakeh,Al-Hasakeh,Markada,35700.0,8335.0,8335.0,10210.0,24726.0,7354.2,24726.0,21420.0,7140.0,11797.0,10417.0,20400.0,24726.0
161,Hama,Masyaf,Jeb Ramleh,36500.0,50.0,50.0,11970.0,25280.0,9490.0,25280.0,3650.0,3650.0,50.0,20988.0,18961.0,25280.0
162,Aleppo,Al Bab,Tadaf,21001.0,1908.0,1908.0,6897.0,14545.0,4893.23,14545.0,4200.0,2100.0,4394.0,10591.0,10909.0,14545.0
163,Rural Damascus,Duma,Nashabiyeh,20190.0,6660.0,6660.0,6594.0,13984.0,4522.56,18410.0,8076.0,4038.0,18410.0,6070.0,11211.0,18410.0
164,Al-Hasakeh,Al-Malikeyyeh,Jawadiyah,29430.0,535.0,535.0,10052.0,20383.0,6062.58,20383.0,5886.0,11772.0,4340.0,11147.0,18958.0,20383.0
165,Idleb,Ariha,Mhambal,27370.0,6010.0,6010.0,8907.0,18956.0,5910.55,18956.0,5474.0,2737.0,6010.0,11323.0,15167.0,18956.0
166,Deir-ez-Zor,Deir-ez-Zor,Muhasan,29940.0,5720.0,5720.0,9816.0,20736.0,6168.81,20736.0,5988.0,2994.0,8814.0,19760.0,6843.0,20736.0
167,Hama,As-Suqaylabiyah,As-Suqaylabiyah,35450.0,2100.0,2100.0,11626.0,24553.0,9217.0,24553.0,7090.0,7090.0,2100.0,17725.0,18415.0,24553.0
168,Tartous,Sheikh Badr,Sheikh Badr,29590.0,10610.0,10610.0,9567.0,20494.0,7427.09,20494.0,5918.0,5918.0,10610.0,12409.0,16439.0,20494.0
169,Aleppo,Jebel Saman,Hadher,900.0,0.0,0.0,295.0,623.0,209.7,623.0,90.0,90.0,0.0,361.0,543.0,623.0
170,Aleppo,Ain Al Arab,Sarin,23154.0,680.0,680.0,8095.0,16036.0,5394.88,16036.0,2315.0,4631.0,3634.0,11570.0,13690.0,16036.0
