,Admin1,Admin2,Admin3,Pop_HNO _2017,IDPs_estimates_for_the_HNO_2017,Education_PiN_2017,Education_Severity_2017
241,Aleppo,Afrin,Sheikh El-Hadid,12830.0,5080.0,4177.0,4.0
242,Homs,Homs,Qaryatein,800.0,0.0,0.0,6.0
243,Lattakia,Al-Haffa,Al-Haffa,10120.0,830.0,3314.0,5.0
244,As-Sweida,As-Sweida,Mashnaf,12610.0,90.0,4143.0,1.0
245,Homs,Tadmor,Tadmor,3180.0,70.0,1049.0,6.0
246,Lattakia,Jablah,Ein Elsharqiyeh,11240.0,640.0,3677.0,4.0
247,As-Sweida,Salkhad,Milh,11880.0,360.0,3905.0,2.0
248,Tartous,Banyas,Rawda,10290.0,1020.0,3375.0,1.0
249,Lattakia,Lattakia,Qastal Maaf,9210.0,1240.0,3020.0,6.0
250,Tartous,Safita,Sibbeh,6000.0,520.0,1963.0,0.0
251,As-Sweida,Shahba,Little Sura,11250.0,360.0,3697.0,2.0
252,As-Sweida,Salkhad,Qarayya,10945.0,2110.0,3656.0,0.0
253,Rural Damascus,At Tall,Sidnaya,10050.0,790.0,3278.0,6.0
254,Homs,Homs,Shin,28101.0,0.0,0.0,3.0
255,Rural Damascus,Duma,Sabe Byar,78850.0,78800.0,24719.0,6.0
256,Lattakia,Al-Haffa,Salanfa,3950.0,160.0,1290.0,6.0
257,Lattakia,Jablah,Ein Shaqaq,9700.0,520.0,3176.0,5.0
258,Lattakia,Jablah,Beit Yashout,8720.0,360.0,2821.0,0.0
259,Lattakia,Lattakia,Rabee'a,1300.0,0.0,378.0,5.0
260,Al-Hasakeh,Al-Hasakeh,Be'r Al-Hulo Al-Wardeyyeh,2990.0,200.0,979.0,6.0
261,Tartous,Dreikish,Hamin,6690.0,440.0,2194.0,3.0
262,Tartous,Banyas,Taleen,6160.0,1160.0,2014.0,0.0
263,Lattakia,Al-Haffa,Mzair'a,6690.0,170.0,2188.0,6.0
264,Tartous,Safita,Bariqiyeh,6100.0,730.0,1996.0,0.0
265,Lattakia,Al-Qardaha,Harf Elmseitra,4950.0,400.0,1619.0,3.0
266,Tartous,Banyas,Tawahin,5980.0,1030.0,1955.0,4.0
267,Lattakia,Lattakia,Bahlawaniyeh,4860.0,120.0,1594.0,6.0
268,Lattakia,Al-Haffa,Ein Et-teeneh,3800.0,120.0,1246.0,5.0
269,Lattakia,Lattakia,Kasab,830.0,380.0,267.0,6.0
